n	density	trial	time_sec
60	30	14	0.015919
60	30	15	0.018251
60	30	16	0.022060
60	30	17	0.017138
60	30	18	0.016619
60	30	19	0.016595
60	30	20	0.022484
80	30	1	0.037119
80	30	2	0.041300
80	30	3	0.055503
80	30	4	0.045236
80	30	5	0.038350
80	30	6	0.037796
80	30	7	0.042321
80	30	8	0.049630
80	30	9	0.043154
80	30	10	0.036234
80	30	11	0.045531
80	30	12	0.041121
80	30	13	0.054933
80	30	14	0.049796
80	30	15	0.034955
80	30	16	0.036901
80	30	17	0.040342
80	30	18	0.040603
80	30	19	0.041707
80	30	20	0.045192
100	30	1	0.084420
100	30	2	0.080111
100	30	3	0.075555
100	30	4	0.070250
100	30	5	0.082556
100	30	6	0.072661
100	30	7	0.071592
100	30	8	0.078307
100	30	9	0.073677
100	30	10	0.084146
100	30	11	0.085328
100	30	12	0.069860
100	30	13	0.080815
100	30	14	0.078073
100	30	15	0.088987
100	30	16	0.081653
100	30	17	0.078037
100	30	18	0.071840
100	30	19	0.075976
100	30	20	0.080369
120	30	1	0.125995
120	30	2	0.139899
120	30	3	0.124509
120	30	4	0.131127
120	30	5	0.135141
120	30	6	0.140793
120	30	7	0.123693
120	30	8	0.128710
120	30	9	0.129545
120	30	10	0.127148
120	30	11	0.130065
120	30	12	0.130588
120	30	13	0.136081
120	30	14	0.143679
120	30	15	0.129951
120	30	16	0.124755
120	30	17	0.124358
120	30	18	0.130881
120	30	19	0.121970
120	30	20	0.128697
140	30	1	0.200063
140	30	2	0.216688
140	30	3	0.196440
140	30	4	0.201081
140	30	5	0.214382
140	30	6	0.195066
140	30	7	0.194922
140	30	8	0.206028
140	30	9	0.191967
140	30	10	0.209695
140	30	11	0.199453
140	30	12	0.202257
140	30	13	0.196945
140	30	14	0.192495
140	30	15	0.198068
140	30	16	0.197957
140	30	17	0.194679
140	30	18	0.205529
140	30	19	0.192394
140	30	20	0.200401
160	30	1	0.302084
160	30	2	0.299546
160	30	3	0.293125
160	30	4	0.301284
160	30	5	0.282635
160	30	6	0.297465
160	30	7	0.292129
160	30	8	0.287911
160	30	9	0.283833
160	30	10	0.300465
160	30	11	0.296440
160	30	12	0.290725
160	30	13	0.300975
160	30	14	0.285147
160	30	15	0.291738
160	30	16	0.296822
160	30	17	0.322911
160	30	18	0.296249
160	30	19	0.292724
160	30	20	0.292782
180	30	1	0.418518
180	30	2	0.424508
180	30	3	0.424079
180	30	4	0.418423
180	30	5	0.410647
180	30	6	0.422532
180	30	7	0.429538
180	30	8	0.418809
180	30	9	0.409744
180	30	10	0.431298
180	30	11	0.409976
180	30	12	0.411260
180	30	13	0.428822
180	30	14	0.409484
180	30	15	0.414973
180	30	16	0.414164
180	30	17	0.418628
180	30	18	0.418182
180	30	19	0.416852
180	30	20	0.413172
200	30	1	0.580233
200	30	2	0.572442
200	30	3	0.573329
200	30	4	0.563654
200	30	5	0.560708
200	30	6	0.559323
200	30	7	0.576878
200	30	8	0.593759
200	30	9	0.624640
200	30	10	0.624061
200	30	11	0.656810
200	30	12	0.612406
200	30	13	0.578395
200	30	14	0.555039
200	30	15	0.552829
200	30	16	0.561445
200	30	17	0.557470
200	30	18	0.571483
200	30	19	0.571369
200	30	20	0.580220
20	50	1	0.000685
20	50	2	0.000786
20	50	3	0.000658
20	50	4	0.000656
20	50	5	0.000626
20	50	6	0.000699
20	50	7	0.000696
20	50	8	0.000720
20	50	9	0.000685
20	50	10	0.000630
20	50	11	0.000626
20	50	12	0.000627
20	50	13	0.000654
20	50	14	0.000730
20	50	15	0.000702
20	50	16	0.000891
20	50	17	0.000765
20	50	18	0.000679
20	50	19	0.000727
20	50	20	0.000669
40	50	1	0.004801
40	50	2	0.005180
40	50	3	0.004803
40	50	4	0.004914
40	50	5	0.004890
40	50	6	0.004772
40	50	7	0.004842
40	50	8	0.004824
40	50	9	0.004756
40	50	10	0.004580
40	50	11	0.004944
40	50	12	0.004946
40	50	13	0.004908
40	50	14	0.005280
40	50	15	0.004740
40	50	16	0.004695
40	50	17	0.004926
40	50	18	0.004908
40	50	19	0.005036
40	50	20	0.005178
60	50	1	0.016024
60	50	2	0.017246
60	50	3	0.015725
60	50	4	0.015733
60	50	5	0.022616
60	50	6	0.017902
60	50	7	0.023328
60	50	8	0.018456
60	50	9	0.018867
60	50	10	0.018379
60	50	11	0.017291
60	50	12	0.017512
